iter	RMSE
0	3015.685701
1	2925.923618
2	2839.395085
3	2758.020962
4	2671.23182
5	2602.38843
6	2534.437035
7	2464.738045
8	2403.573961
9	2349.067164
10	2287.542416
11	2235.099963
12	2172.401852
13	2113.845286
14	2065.257222
15	2013.873397
16	1965.001208
17	1921.259334
18	1878.659508
19	1839.983499
20	1791.499888
21	1752.320006
22	1719.35818
23	1680.163002
24	1651.093989
25	1623.534524
26	1588.917108
27	1556.453632
28	1527.447941
29	1499.657063
30	1468.971043
31	1447.248222
32	1421.810692
33	1397.883274
34	1372.493565
35	1347.107352
36	1323.162873
37	1300.673303
38	1278.929027
39	1268.285369
40	1251.367578
41	1229.300872
42	1209.015417
43	1196.716757
44	1179.52925
45	1164.993797
46	1154.673354
47	1137.821193
48	1119.483109
49	1103.431938
50	1094.005878
51	1080.167965
52	1070.76518
53	1059.824505
54	1050.17252
55	1037.153484
56	1026.078668
57	1012.38949
58	997.6282169
59	991.4843878
60	983.7741621
61	975.2093541
62	965.7270388
63	956.1697578
64	949.4847157
65	939.6371098
66	933.6824956
67	922.0190628
68	912.3190748
69	901.2345747
70	894.1301713
71	889.1936674
72	882.7610883
73	875.9497625
74	869.7670064
75	859.9229383
76	855.6871475
77	850.1131026
78	846.067448
79	840.3905813
80	829.6526034
81	822.8068974
82	814.410144
83	810.0931765
84	803.1796996
85	795.6132577
86	791.7809546
87	787.3558725
88	783.6676054
89	776.9285186
90	773.2687473
91	767.1971085
92	760.0274878
93	756.1735816
94	752.78085
95	748.0577476
96	739.3851286
97	733.9184488
98	730.2543995
99	723.2185872
100	719.1572485
101	712.5884116
102	707.0144821
103	704.1062014
104	700.6511683
105	697.6081446
106	694.7127707
107	691.4794299
108	685.3709563
109	682.5071774
110	679.1810411
111	672.634593
112	665.5035625
113	662.9277846
114	660.472377
115	653.5258529
116	649.5376131
117	647.0708389
118	644.891012
119	641.240194
120	635.3835429
121	629.0487009
122	622.3415754
123	619.6625692
124	615.3476676
125	611.1882529
126	609.3241116
127	607.2776832
128	605.5337707
129	600.888113
130	598.5978018
131	596.7108073
132	594.5109506
133	591.7616384
134	589.7405693
135	587.901467
136	585.5869882
137	583.2803229
138	579.0828671
139	576.6398799
140	575.0763233
141	573.6379524
142	572.0077528
143	569.3803403
144	567.4199461
145	566.0740034
146	560.7406308
147	557.3045548
148	556.0263105
149	551.6360719
150	549.9931549
151	548.3901874
152	543.8426561
153	539.836468
154	535.8796642
155	533.240392
156	530.4052421
157	529.2208865
158	527.9308845
159	526.7218142
160	525.6094779
161	523.187191
162	521.6212258
163	520.2789466
164	519.1158804
165	518.145468
166	514.7752577
167	511.9175375
168	507.6673268
169	506.1064486
170	504.6020657
171	501.5264509
172	498.6083629
173	497.4741578
174	495.8088664
175	494.5179753
176	493.6745011
177	489.5319018
178	486.1410542
179	485.3886031
180	482.3809421
181	481.5745052
182	477.4394374
183	475.5932543
184	474.1389892
185	471.1147778
186	467.2397238
187	464.0203484
188	462.5872404
189	459.2984466
190	456.0033412
191	454.5264219
192	453.6031619
193	452.2449846
194	451.5948065
195	448.8639361
196	445.4832979
197	444.1832179
198	442.8676426
199	441.7608619
200	439.4447453
201	437.012625
202	435.0911778
203	431.9780866
204	428.9208469
205	426.5058946
206	425.367016
207	424.3049244
208	423.2715084
209	422.3171237
210	421.386603
211	419.2280957
212	418.4042613
213	417.4379607
214	416.5096719
215	413.3576112
216	411.3547691
217	410.5464828
218	407.6920996
219	406.9925347
220	404.3062402
221	402.2009428
222	399.5695983
223	397.6106326
224	396.9004608
225	396.2416362
226	394.2030732
227	391.3817944
228	390.716646
229	389.9924514
230	387.1750493
231	385.754101
232	383.4249801
233	381.5912691
234	379.083971
235	377.4721312
236	376.8014168
237	374.6383979
238	373.945155
239	372.4481635
240	370.9160962
241	368.24392
242	366.2596751
243	364.3411757
244	362.8929379
245	360.5884461
246	359.349634
247	356.9789492
248	354.7094888
249	353.2043115
250	351.9001454
251	350.0679678
252	348.9200396
253	346.6740561
254	344.8196212
255	343.5708785
256	341.6391441
257	339.6295946
258	338.1443831
259	336.1222406
260	334.7106302
261	333.2867012
262	331.7349843
263	330.1262945
264	329.2014826
265	327.6148765
266	326.7418697
267	325.0751911
268	323.2959967
269	322.6783919
270	321.043495
271	319.4716701
272	318.2849921
273	316.7440975
274	316.1308734
275	315.4869175
276	314.0460602
277	312.5816937
278	311.1347658
279	309.3478128
280	307.6524955
281	307.03695
282	306.597195
283	305.4617672
284	304.0364937
285	302.3149728
286	300.9802353
287	299.3635086
288	297.7173411
289	297.0880919
290	296.3820792
291	295.0977211
292	293.6289745
293	292.3486402
294	290.9370137
295	289.5451079
296	288.2106953
297	286.9961446
298	285.8101139
299	284.6344862
300	284.0717201
301	282.7116024
302	281.5935775
303	280.3754266
304	279.0726123
305	277.9497146
306	276.8337827
307	275.9623192
308	274.9203089
309	273.844917
310	272.735674
311	271.7150719
312	270.3489019
313	269.2409891
314	268.3489253
315	267.5823257
316	266.8853398
317	265.6674031
318	264.6936417
319	263.6406789
320	262.9776728
321	262.0627295
322	261.4272061
323	260.6016864
324	259.4480159
325	258.8264658
326	258.5065538
327	257.1820654
328	256.2796217
329	255.3360175
330	254.4141602
331	253.3931873
332	252.4253851
333	251.8393657
334	251.08217
335	250.5281597
336	249.4877139
337	248.9606031
338	248.0262115
339	246.7931971
340	245.9395552
341	245.1831985
342	244.3910602
343	243.8878337
344	242.8350215
345	241.9697167
346	240.8950541
347	240.4154463
348	239.8408271
349	238.8563036
350	238.0844985
351	237.2642877
352	236.0640552
353	235.4984346
354	234.1966614
355	233.1273819
356	232.6722824
357	231.9194752
358	230.8375704
359	230.2023048
360	229.4720714
361	228.1179137
362	227.4056546
363	226.9002167
364	226.328706
365	225.6156136
366	224.72158
367	223.9721947
368	223.3029792
369	222.1055035
370	221.3105412
371	220.7139223
372	219.9756968
373	219.3206705
374	218.1811608
375	217.3513122
376	216.8463763
377	216.17228
378	215.8138063
379	215.0096522
380	214.6904681
381	214.3077547
382	213.6935634
383	212.9389776
384	212.1357206
385	211.6584081
386	210.9184848
387	210.2791584
388	209.9887802
389	208.9373822
390	208.4635126
391	207.9384206
392	207.0731781
393	206.5079777
