iter	Passed	Remaining
0	148	148518
1	157	78581
2	165	54878
3	172	42985
4	178	35586
5	185	30658
6	192	27340
7	201	24931
8	209	23060
9	215	21327
10	224	20190
11	232	19128
12	239	18177
13	246	17376
14	256	16831
15	266	16379
16	276	15970
17	283	15445
18	291	15025
19	300	14707
20	309	14420
21	317	14109
22	326	13855
23	333	13564
24	340	13279
25	347	13029
26	357	12876
27	364	12665
28	372	12483
29	379	12279
30	387	12113
31	395	11962
32	403	11817
33	411	11691
34	418	11529
35	424	11374
36	433	11272
37	440	11160
38	449	11081
39	458	11012
40	466	10923
41	474	10830
42	483	10757
43	491	10671
44	498	10580
45	507	10528
46	516	10472
47	524	10409
48	532	10334
49	538	10236
50	546	10162
51	552	10070
52	559	10000
53	567	9947
54	574	9875
55	582	9821
56	592	9797
57	599	9741
58	609	9713
59	617	9673
60	623	9597
61	631	9561
62	639	9507
63	646	9455
64	653	9395
65	661	9359
66	668	9311
67	675	9262
68	683	9215
69	689	9165
70	697	9121
71	702	9059
72	713	9065
73	720	9017
74	728	8985
75	734	8933
76	743	8907
77	750	8874
78	757	8834
79	765	8806
80	774	8790
81	783	8772
82	790	8737
83	798	8703
84	806	8679
85	816	8672
86	823	8642
87	831	8613
88	838	8586
89	846	8562
90	854	8538
91	862	8511
92	870	8491
93	877	8454
94	884	8424
95	893	8409
96	900	8379
97	909	8369
98	918	8354
99	924	8316
100	930	8286
101	939	8269
102	948	8261
103	958	8254
104	964	8222
105	972	8202
106	979	8173
107	986	8146
108	994	8130
109	1005	8133
110	1013	8118
111	1023	8116
112	1033	8108
113	1039	8079
114	1045	8044
115	1052	8023
116	1059	7997
117	1067	7975
118	1073	7947
119	1080	7922
120	1086	7895
121	1096	7888
122	1105	7880
123	1110	7845
124	1117	7825
125	1124	7801
126	1131	7776
127	1138	7759
128	1147	7748
129	1155	7736
130	1163	7720
131	1173	7713
132	1180	7692
133	1189	7689
134	1197	7672
135	1203	7644
136	1214	7648
137	1226	7658
138	1232	7637
139	1238	7610
140	1246	7595
141	1255	7587
142	1262	7565
143	1270	7554
144	1278	7538
145	1290	7550
146	1301	7554
147	1318	7589
148	1328	7586
149	1337	7578
150	1346	7569
151	1356	7565
152	1366	7567
153	1375	7557
154	1389	7576
155	1397	7561
156	1407	7555
157	1417	7553
158	1425	7540
159	1435	7537
160	1445	7533
161	1452	7511
162	1460	7499
163	1467	7481
164	1476	7472
165	1486	7470
166	1495	7458
167	1502	7442
168	1512	7437
169	1520	7423
170	1529	7416
171	1536	7395
172	1546	7391
173	1556	7386
174	1564	7373
175	1572	7361
176	1578	7339
177	1586	7324
178	1594	7314
179	1601	7296
180	1609	7280
181	1619	7278
182	1626	7262
183	1633	7245
184	1640	7226
185	1647	7209
186	1657	7205
187	1663	7186
188	1669	71619189	1677	71519190	1685	713197	1635	6625
198	1645	6623
199	1654	6618
200	1660	6601
201	1667	6588
20196	1730	705203	1682	6564
204	1690	6555
20199	1755	70220200	1765	70120201	1773	70020202	1780	69920203	1791	6991
204	1799	6978
205	1808	6972
206	1815	6954
207	1822	6937
208	1829	6925
209	1836	6908
210	1844	6898
211	1853	6888
212	1861	6878
213	1870	6870
214	1876	6852
215	1888	6852
216	1896	6843
217	1903	6828
218	1911	6815
219	1917	6799
220	1925	6788
221	1932	6772
222	1940	6762
223	1947	6748
224	1956	6740
225	1963	6723
226	1969	6707
227	1976	6693
228	1984	6680
229	1991	66623230	1998	66523231	2007	66423232	2015	66323233	2023	66224234	2032	66124235	2040	660242	1992	6206
243	2001	6200
24238	2062	65624239	2075	65724240	2082	65524241	2090	654248	2042	6161
249	2050	6151
250	2058	6143
251	2068	6139
252	2078	6137
253	2086	6129
254	2095	6122
255	2101	6108
25250	2163	64525251	2169	64325252	2178	64325253	2189	64326254	2200	6429
255	2207	64126256	2216	64026257	2225	63926258	2233	63926259	2240	63726260	2245	63526261	2253	63426262	2261	63326263	2269	63227264	2276	63127265	2284	63027266	2292	62927267	2301	62827268	2307	6270
269	2315	62527270	2323	62527271	2332	62427272	2340	62327273	2348	6223
274	2356	6213
275	2363	6199
276	2371	6190
277	2379	6179
278	2389	6173
279	2398	6167
280	2405	6153
281	2413	6145
282	2421	6134
283	2431	6129
284	2439	6119
285	2448	6112
286	2455	6099
287	2462	6088
288	2472	6082
289	2480	6072
290	2489	6064
291	2496	6053
292	2505	6045
293	2513	6034
294	2521	6025
295	2528	6014
296	2535	6001
297	2544	5993
298	2553	5985
299	2560	5975
300	2569	5966
301	2576	5955
302	2585	5946
303	2592	5934
304	2600	5926
305	2609	5918
306	2615	5905
307	2626	5900
308	2631	5884
309	2638	5872
310	2646	5863
311	2653	5851
312	2659	5837
313	2667	5828
314	2675	5818
315	2684	5809
316	2691	5799
317	2697	5785
318	2702	5769
319	2711	5762
320	2718	5750
321	2724	5737
322	2732	5726
323	2738	5713
324	2745	5702
325	2753	5692
326	2760	5680
327	2767	5670
328	2776	5662
329	2783	5651
330	2791	5642
331	2800	5634
332	2811	5631
333	2818	5619
334	2824	5606
335	2830	5593
336	2838	5584
337	2845	5572
338	2853	5564
339	2859	5551
340	2868	5543
341	2877	5536
342	2885	5526
343	2891	5514
344	2898	5503
345	2905	5491
346	2911	5479
347	2919	5468
348	2926	5459
349	2935	5451
350	2941	5439
351	2950	54335352	2959	54235353	2967	5415
354	2975	5405
355	2982	5395
356	2992	5389
357	3001	5382
358	3008	5372
359	3014	5358
360	3024	5353
361	3032	5345
362	3042	5339
363	3050	5329
364	3060	5324
365	3065	5310
366	3073	5301
367	3082	5293
368	3088	5282
369	3095	5270
370	3104	5263
371	3111	5253
372	3120	5244
373	3127	5234
374	3134	5224
375	3142	5214
376	3150	5206
377	3158	5196
378	3167	5190
379	3174	5179
380	3182	5170
381	3188	5158
382	3195	5147
383	3202	51339384	3209	51239385	3215	51139386	3222	51039387	3228	50939388	3238	50839389	3244	50739390	3254	50639391	3261	50539392	3267	50439393	3275	50340394	3284	50340395	3293	50240396	3302	50140397	3308	50040398	3317	49940399	3322	49840400	3330	49740401	3338	49640402	3347	49540403	3354	49441404	3363	49441405	3370	49341406	3378	49241407	3386	49141408	3395	49041409	3405	49041410	3412	48941411	3421	48841412	3431	48741413	3441	4871
414	3447	48542415	3453	48442416	3462	48442417	3471	48342418	3479	48242419	3486	48142420	3494	48042421	3503	47942422	3510	47842423	3519	47843424	3527	47743425	3535	47643426	3544	47543427	3551	47443428	3560	47343429	3568	47343430	3576	47243431	3585	47143432	3591	47043433	3598	469440	3558	4511
441	3568	4505
442	3575	4495
44437	3631	46544438	3643	46544439	3649	46444440	3655	46344441	3664	46244442	3673	46144443	3680	46045444	3687	45945445	3695	45845446	3701	457453	3662	4404
45448	3716	45645449	3726	45545450	3735	45445451	3742	45345452	3750	45245453	3758	451460	3721	4351
46455	3776	45046456	3784	44946457	3793	44846458	3801	44846459	3809	44746460	3817	44646461	3826	4456
462	3837	4450
463	3844	4441
464	3852	4432
465	3859	4422
466	3867	4414
467	3875	4405
468	3883	4397
469	3893	4390
470	3900	4381
471	3909	4373
472	3920	4368
473	3927	4357
474	3933	4347
475	3940	4337
476	3946	4327
477	3954	43148478	3962	4310
479	3970	43048480	3977	4292
481	3986	42848482	3991	42748483	3997	42649484	4004	42549485	4011	42449486	4019	42349487	4026	42249488	4036	421495	4001	4066
496	4009	4057
497	4015	4048
49492	4068	418499	4036	4036
500	4047	4031
501	4055	4022
502	4063	4014
503	4071	4007
504	4079	3999
505	4086	3990
506	4095	3982
507	4102	3973
508	4114	3968
509	4125	3963
510	4135	3957
511	4147	3952
512	4154	3944
513	4167	3940
514	4174	3931
515	4181	3922
516	4188	3913
517	4194	3903
518	4203	3895
519	4213	3889
520	4221	3881
521	4230	3873
522	4238	3865
523	4249	3859
524	4260	3854
525	4268	3846
526	4283	3844
527	4292	3836
528	4300	3828
529	4308	3820
530	4318	3814
531	4328	3807
532	4337	3800
533	4347	3793
534	4352	3783
535	4363	3777
536	4369	3767
537	4378	3759
538	4385	3751
539	4397	3745
540	4407	3739
541	4417	3732
542	4427	3726
54537	4480	384544	4446	3712
54539	4502	38354540	4509	38254541	4519	38154542	4528	38154543	4537	38055544	4545	379551	4512	3662
55546	4564	378553	4530	3646
55548	4583	37655549	4594	37555550	4600	374557	4566	3617
558	4575	3609
55553	4626	37256554	4637	37156555	4649	37156556	4661	3707
557	4669	3699
558	4678	3690
559	4687	36856560	4695	36756561	4702	36656562	4709	36556563	4717	36457564	4726	36357565	4734	36357566	4743	36257567	4751	36157568	4761	36057569	4771	35957570	4779	35957571	4787	35857572	4798	35757573	4808	356580	4774	3442
581	4784	3435
582	4792	3427
583	4803	3421
584	4811	3413
585	4819	3405
586	4826	3395
587	4835	3388
588	4843	3379
589	4851	3371
590	4859	3363
591	4867	3354
592	4876	3346
593	4883	3338
594	4893	3331
595	4905	3324
596	4911	3315
597	4920	3307
598	4930	3300
599	4939	3293
600	4949	3286
601	4959	3278
602	4968	3271
603	4979	3264
604	4987	3256
605	4996	3248
606	5002	3239
607	5011	3231
608	5021	3223
609	5030	3216
610	5038	3207
611	5046	3199
612	5053	3190
613	5064	3184
614	5074	3176
615	5086	3171
616	5095	3162
617	5103	3154
618	5114	3148
619	5122	3139
620	5131	3131
621	5139	3123
622	5150	3116
623	5162	3110
624	5169	3101
625	5179	3094
626	5189	3086
627	5197	3078
628	5207	3071
629	5216	3063
630	5224	3055
631	5232	3046
632	5240	3038
633	5252	3032
634	5261	3024
635	5269	3015
636	5278	3007
637	5283	2998
638	5291	2989
639	5300	2981
640	5311	2974
641	5320	2966
642	5328	2958
643	5336	2950
644	5342	2940
645	5351	2932
646	5360	2924
647	5369	2916
648	5378	2909
649	5386	2900
650	5395	2892
651	5403	2884
652	5415	2877
653	5428	2871
654	5439	2865
655	5449	2857
656	5461	2851
657	5470	2843
658	5482	2836
659	5493	2830
660	5507	2824
661	5521	2818
662	5531	2811
663	5541	2803
664	5552	2797
665	5567	2792
666	5578	2785
667	5589	2778
668	5599	2770
669	5610	2763
670	5626	2758
671	5639	2752
672	5651	2746
673	5661	2738
674	5673	2731
675	5681	2722
676	5693	2716
677	5706	2710
678	5718	2703
679	5727	2695
680	5740	2689
681	5756	2683
682	5771	2678
683	5782	2671
684	5794	2664
685	5818	2663
686	5833	2657
687	5844	2650
688	5866	2648
689	5884	2643
690	5901	2638
691	5921	2635
692	5934	2628
693	5942	2620
694	5961	2616
695	5978	2611
696	5998	2607
697	6013	2602
698	6033	2598
699	6049	2592
700	6070	2589
701	6084	2582
702	6103	2578
703	6121	2573
704	6139	2569
705	6150	2561
706	6168	2556
707	6179	2548
708	6194	2542
709	6203	2533
710	6216	2526
711	6232	2521
712	6249	2515
713	6261	2507
714	6268	2498
715	6278	2490
716	6294	2484
717	6315	2480
718	6332	2474
719	6345	2467
720	6357	2460
721	6373	2454
722	6396	2450
723	6406	2442
724	6417	2434
725	6429	2426
726	6438	2417
727	6447	2409
728	6456	2400
729	6464	2391
730	6475	2382
731	6483	2373
732	6494	2365
733	6505	2357
734	6514	2348
735	6524	2340
736	6535	2332
737	6543	2322
738	6550	2313
739	6558	2304
740	6565	2294
741	6574	2286
742	6581	2276
743	6589	2267
744	6597	2258
745	6604	2248
746	6612	2239
747	6619	2230
748	6627	2220
749	6635	2211
750	6642	2202
751	6649	2193
752	6658	2184
753	6666	2175
754	6674	2165
755	6681	2156
756	6691	2148
757	6701	2139
758	6709	2130
759	6717	2121
760	6723	2111
761	6732	2102
762	6741	2094
763	6750	2085
764	6757	2075
765	6767	2067
766	6776	2058
767	6785	2049
768	6797	2041
769	6804	2032
770	6814	2023
771	6822	2014
772	6831	2006
773	6840	1997
774	6847	1988
775	6859	1980
776	6870	1971
777	6881	1963
778	6888	1954
779	6896	1945
780	6904	1936
781	6912	1927
782	6919	1917
783	6927	1908
784	6937	1900
785	6946	1891
786	6953	1882
787	6962	1873
788	6973	1864
789	6979	1855
790	6986	1846
791	6994	1836
792	7007	1829
793	7016	1820
794	7027	1812
795	7035	1803
796	7046	1794
797	7057	1786
798	7064	1777
799	7075	1768
800	7084	1760
801	7107	1754
802	7121	1747
803	7137	1739
804	7146	1731
805	7156	1722
806	7166	1713
807	7176	1705
808	7184	1696
809	7193	1687
810	7201	1678
811	7208	1668
812	7217	1660
813	7224	1650
814	7232	1641
815	7241	1632
816	7249	1623
817	7257	1614
818	7267	1606
819	7275	1597
820	7282	1587
821	7289	1578
822	7297	1569
823	7307	1560
824	7316	1552
825	7325	1543
826	7335	1534
827	7344	1525
828	7352	1516
829	7359	1507
830	7370	1498
831	7380	1490
832	7389	1481
833	7401	1473
834	7408	1463
835	7413	1454
836	7423	1445
837	7429	1436
838	7437	1427
839	7445	1418
840	7456	1409
841	7465	1400
842	7473	1391
843	7483	1383
844	7490	1373
845	7498	1364
846	7507	1356
847	7516	1347
848	7525	1338
849	7535	1329
850	7544	1320
851	7555	1312
852	7563	1303
853	7572	1294
854	7578	1285
855	7587	1276
856	7596	1267
857	7605	1258
858	7611	1249
859	7619	1240
860	7628	1231
861	7635	1222
862	7644	1213
863	7652	1204
864	7659	1195
865	7667	1186
866	7677	1177
867	7690	1169
868	7698	1160
869	7706	1151
870	7718	1143
871	7727	1134
872	7738	1125
